,nit,x_diff,f_diff,p_id,duration_microsec
0,109,0.00111699,4.69554e-07,0,7.849
1,65,0.00561592,6.34395e-06,1,4.289
2,88,0.00115886,7.46074e-06,2,20.678
3,112,0.00891084,2.54072e-05,3,8.511
4,61,0.0103564,2.56362e-05,4,4.545
5,96,0.000345516,3.87976e-05,5,4.715
6,100,0.00369697,4.46079e-06,6,5.067
7,37,0.00452628,4.48258e-05,7,2.162
8,95,0.000828469,8.1463e-07,8,5.078
9,51,0.00737991,1.09068e-05,9,2.733
10,73,0.01599,6.35716e-05,10,3.835
11,88,0.00286876,3.48648e-05,11,4.24
12,101,0.0160239,0.000132999,12,4.956
13,51,0.00123064,9.62536e-06,13,3.608
14,97,0.00185968,5.35823e-06,14,6.603
15,63,0.00424511,7.52951e-06,15,4.04
16,126,0.00260386,5.14265e-06,16,8.289
17,83,0.0155503,0.000206091,17,5.269
18,85,0.0016756,7.85171e-06,18,5.854
19,48,0.0040604,3.76516e-05,19,3.438
20,52,0.00219891,1.61615e-06,20,3.785
21,107,0.00174907,6.65423e-07,21,8.263
22,89,0.00154473,1.09721e-06,22,5.707
23,101,0.00277128,2.65726e-06,23,5.961
24,94,0.00779962,2.7196e-05,24,5.501
25,27,0.00239789,1.21302e-06,25,2.248
26,69,0.00138468,4.672e-06,26,4.475
27,73,0.0110243,2.43692e-05,27,4.397
28,90,0.00233715,7.60514e-06,28,5.597
29,87,0.00364912,4.62234e-06,29,6.226
