,nit,x_diff,f_diff,p_id,duration_microsec
0,13,9.41553,0.0781895,0,4.505
1,18,12.5545,0.126991,1,2.646
2,13,9.41589,0.0781892,2,2.159
3,10,3.13769,0.00971654,3,1.633
4,12,6.27707,0.0372241,4,1.967
5,10,3.13882,0.00971602,5,1.504
6,12,3.1374,0.00971707,6,1.8
7,17,3.13808,0.00971607,7,2.505
8,18,0.00278708,7.77555e-06,8,2.046
9,12,9.41535,0.0781897,9,1.838
10,15,6.27706,0.0372241,10,2.017
11,23,3.13944,0.0097168,11,2.65
12,12,3.13823,0.00971597,12,1.661
13,25,9.41508,0.0781901,13,3.04
14,12,3.13908,0.00971626,14,1.706
15,15,3.13843,0.00971591,15,1.98
16,17,9.41556,0.0781895,16,2.086
17,17,6.27854,0.0372259,17,2.379
18,21,6.27737,0.0372241,18,2.436
19,13,6.27707,0.0372241,19,1.856
20,12,3.13898,0.00971615,20,1.544
21,11,3.13863,0.00971593,21,1.518
22,14,9.41627,0.0781892,22,1.923
23,16,15.7001,0.178237,23,1.935
24,16,12.5544,0.126992,24,2
25,11,3.13753,0.0097168,25,1.431
26,15,15.6955,0.178222,26,2.046
27,14,6.27971,0.0372302,27,2.14
28,12,3.13893,0.0097161,28,1.861
29,12,3.13837,0.00971592,29,1.872
