,nit,x_diff,f_diff,p_id,duration_microsec
0,473,1399.83,3317.24,0,162.633
1,460,1332.07,3317.16,1,123.458
2,474,1356.57,3534.82,2,118.508
3,451,1311.88,3752.41,3,109.735
4,484,1319.87,3633.62,4,117.53
5,491,1520.88,2921.79,5,107.215
6,491,1461.7,2961.67,6,108.877
7,500,1504.63,2882.8,7,123.402
8,491,1198.76,3278.1,8,133.798
9,481,1515.55,3356.3,9,133.064
10,479,1471.07,3258.36,10,138.688
11,477,1231.33,3416.3,11,137.671
12,452,1270.36,3000.68,12,121.987
13,500,1259.75,3020.82,13,136.074
14,479,1365.7,3396.48,14,134.748
15,500,1359.3,3356.71,15,141.264
16,483,1271.37,3435.72,16,145.736
17,500,1511.06,3040.78,17,142.697
18,482,1559.99,3178.48,18,133.236
19,500,1553.95,3337.33,19,217.697
20,500,1512.23,3099.38,20,214.37
21,435,1136.79,3317.2,21,113.787
22,434,1395.79,3771.1,22,146.327
23,468,1304.37,3672.58,23,137.83
24,489,1363.58,3297.82,24,116.838
25,497,1562.47,2922.21,25,111.473
26,484,1403.97,3514.55,26,104.209
27,500,1445.14,3178.75,27,178.864
28,456,1349.53,3771.83,28,173.868
29,470,1385.21,3356.2,29,222.404
