,nit,x_diff,f_diff,p_id,duration_microsec
0,182,0.00571976,3.27157e-05,0,51.307
1,185,0.0101054,0.000102119,1,31.232
2,169,0.00687573,4.72756e-05,2,24.487
3,226,0.00635367,4.03691e-05,3,32.548
4,149,0.00517097,2.67389e-05,4,20.951
5,177,0.00450816,2.03235e-05,5,22.702
6,157,0.0056417,3.18288e-05,6,17.331
7,177,0.00458912,2.106e-05,7,22.086
8,137,0.00637064,4.05851e-05,8,20.46
9,181,0.00644397,4.15248e-05,9,21.502
10,191,0.00584881,3.42085e-05,10,24.396
11,140,0.00570825,3.25841e-05,11,16.571
12,166,0.00538506,2.89989e-05,12,23.141
13,151,0.00539226,2.90765e-05,13,23.49
14,196,0.00435135,1.89342e-05,14,23.165
15,163,0.00580977,3.37534e-05,15,18.205
16,169,0.00667029,4.44928e-05,16,24.052
17,131,0.00630096,3.97021e-05,17,20.346
18,174,0.00519633,2.70019e-05,18,25.175
19,166,0.00656839,4.31438e-05,19,19.629
20,157,0.00658014,4.32982e-05,20,20.925
21,183,0.00579835,3.36209e-05,21,22.911
22,180,0.00665417,4.42779e-05,22,24.338
23,152,0.00581747,3.3843e-05,23,24.338
24,170,0.00705887,4.98276e-05,24,20.293
25,186,0.00585517,3.4283e-05,25,22.329
26,158,0.00638668,4.07897e-05,26,17.617
27,164,0.00484766,2.34998e-05,27,20.11
28,139,0.00393306,1.54689e-05,28,17.719
29,196,0.00707782,5.00956e-05,29,21.472
