,nit,x_diff,f_diff,p_id,duration_microsec
0,5,3.5873547611138714,12.934432432041117,0,1275321
1,5,1.407083988405439,1.989918114186608,1,1379349
2,4,2.8141608685627975,7.959662381108197,2,1138126
3,7,3.5873547690916934,12.934432432041117,3,3058036
4,6,4.10227036978049,16.914202849554847,4,1435108
5,5,1.9899122414205959,3.9798311905541084,5,1165357
6,6,4.10227037186097,16.91420284955484,6,1430485
7,5,2.8141608770366733,7.959662381108227,7,1060373
8,5,2.2247906389352834,4.974790247647391,8,1183288
9,6,3.1463162930995336,9.949560298580325,9,1508631
10,6,4.221223414004482,17.90920248297404,10,1409666
11,5,2.984855677708192,8.95460124148712,11,1185123
12,7,2.2247906151201438,4.974790247647592,12,1754577
13,5,4.102270379685291,16.91420284955483,13,1249462
14,8,0.9949586415448503,0.9949590570933324,14,2532098
15,4,3.587354772458875,12.934432432041103,15,1065095
16,7,1.407083988992858,1.9899181141866045,16,1723434
17,4,1.4070839992109816,1.9899181141866045,17,1143415
18,10,2.22479062958255,4.974790247647398,18,2532728
19,6,2.2247906486024474,4.974790247647402,19,1353444
20,6,1.989912227154682,3.9798311905541013,20,1413352
21,8,2.224790636140842,4.9747902476474035,21,1918340
22,7,0.9949586457379356,0.994959057093304,22,1684455
23,4,3.1463162906359368,9.949560298580314,23,1040468
24,6,2.814160868750942,7.9596623811081955,24,1302384
25,4,2.9848557031289347,8.954601241487069,25,1045475
26,6,2.2247906492727876,4.974790247647402,26,1348554
27,8,0.9949586297854887,0.9949590570933147,27,1870725
28,7,3.5873547734310436,12.934432432041358,28,2256320
29,4,2.2247906324468523,4.974790247647389,29,1204700
