,nit,x_diff,f_diff,p_id,duration_microsec
0,25,1.001953896431164e-05,2.0056205293723757e-11,0,5164492
1,32,9.342442039424956e-07,1.9048940667783432e-13,1,5980846
2,27,6.187865397472601e-06,7.649861037447954e-12,2,6200684
3,31,1.9546785788723392e-05,7.63068266624936e-11,3,6429210
4,21,1.0025247795095415e-05,2.008006848903584e-11,4,4772843
5,29,1.0101528509447168e-05,2.0386472244780055e-11,5,5667147
6,26,1.1651632054087044e-05,2.7117646729314978e-11,6,5581411
7,22,9.990316545757055e-06,1.9940261158268606e-11,7,4138985
8,31,3.76114687673176e-06,3.091908625316749e-12,8,10567795
9,27,9.873459754868772e-06,1.9480106638084352e-11,9,5327673
10,15,1.0125371224036146e-05,2.048280507754631e-11,10,3600526
11,26,4.946138372040618e-06,4.90515164226561e-12,11,5840670
12,31,1.7758107956418255e-06,6.311735104873438e-13,12,7216250
13,33,9.502895004587438e-05,4.945146882545433e-09,13,6628964
14,33,1.004826012907243e-05,2.0172124654667338e-11,14,6444250
15,30,1.694436179999521e-05,5.736614873352242e-11,15,6397005
16,30,3.961743974731914e-06,3.148369717561205e-12,16,5626339
17,27,4.661224387985824e-06,4.625010115338333e-12,17,7489849
18,33,7.163130773685737e-06,1.0274523378502406e-11,18,6836663
19,35,7.81385226609078e-06,1.2203943835420372e-11,19,6289226
20,29,1.0036297614754491e-05,2.0125323808337323e-11,20,5101364
21,17,1.0123218037172743e-05,2.0474079027126455e-11,21,3395664
22,29,4.940738088433091e-07,5.516538352937774e-14,22,5958316
23,33,1.887286342930517e-05,7.113186712877014e-11,23,6893382
24,30,1.0095018784397024e-05,2.036021414803412e-11,24,5483935
25,29,1.6992623472162173e-06,5.912424052849934e-13,25,8177852
26,21,3.0472911823292964e-06,1.8542421072400526e-12,26,4054949
27,25,1.0016351007051318e-05,2.0034807470790912e-11,27,5687618
28,19,1.2656545981338086e-05,3.19864545580514e-11,28,3987002
29,21,4.358949940906148e-06,3.794022033375488e-12,29,4791007
