,nit,x_diff,f_diff,p_id,duration_microsec
0,8,705.3843083014114,691.0066662632245,0,2012665
1,6,496.8173966068945,612.0396218951659,1,1699226
2,8,587.4109145819672,513.2464086042381,2,2233120
3,4,570.9600861074653,750.2478578253779,3,1186257
4,7,416.50939028148935,572.4876001671047,4,2293343
5,3,651.3213556241517,651.4546445345758,5,1224123
6,5,651.3213478846759,651.4546445345887,6,1446303
7,6,705.3842735430342,691.0066662630162,7,2211202
8,7,570.9600548220413,750.2478578255801,8,1647534
9,7,610.3298322291824,809.937538151785,9,1496040
10,6,651.3213458001361,651.454644534542,10,2428946
11,6,686.0951437843113,711.1443248608741,11,1912651
12,5,705.3842817728097,691.006666263112,12,1800931
13,4,416.5093344459243,572.4876001665854,13,1528083
14,6,705.3842784811093,691.0066662630305,14,1539243
15,9,546.9506097687198,770.3855164232259,15,2247983
16,5,496.8173837452139,612.0396218952976,16,1968945
17,9,705.3842656374243,691.0066662633413,17,2332901
18,4,771.8749535444148,592.2134529726442,18,1658709
19,6,587.4108690945966,513.2464086044382,19,1885216
20,7,705.3842449178414,691.0066662631925,20,1712734
21,8,570.9600957893493,750.2478578253865,21,1844901
22,12,686.0951395251653,711.1443248608199,22,3087179
23,7,416.5093031999208,572.4876001669211,23,1773942
24,5,570.960066347099,750.247857825465,24,1526062
25,8,705.3842468736216,691.0066662632368,25,1972925
26,8,651.3213633057165,651.454644534663,26,2198718
27,6,651.321373335331,651.4546445346954,27,1499093
28,9,416.509340582065,572.4876001666665,28,2509864
29,6,651.3213108647075,651.4546445346458,29,1920421
