,nit,x_diff,f_diff,p_id,duration_microsec
0,1,1.0109519382290773e-07,1.0220238214091281e-14,0,439608
1,1,5.49646042288672e-09,3.021107718036006e-17,1,357110
2,2,8.975256175842063e-09,8.05552234219911e-17,2,401325
3,1,6.704434300844459e-09,4.4949439294339735e-17,3,410201
4,2,8.120118550454474e-09,6.593632527343488e-17,4,426827
5,1,1.024809095608706e-08,1.0502336824423338e-16,5,333686
6,1,5.3754012526648565e-09,2.8894938627150905e-17,6,302521
7,3,1.0536712127723509e-08,1.1102230246251565e-16,7,554704
8,1,1.180696412956409e-07,1.394044019568131e-14,8,339720
9,1,9.362822864268541e-09,8.766245198766977e-17,9,366325
10,2,9.94909686011958e-09,9.898452833204126e-17,10,403679
11,1,1.2864372449478093e-08,1.65492078518891e-16,11,419045
12,3,1.0536712127723509e-08,1.1102230246251565e-16,12,591799
13,3,1.0536712127723509e-08,1.1102230246251565e-16,13,651139
14,2,1.1379356588941164e-08,1.2948975637827867e-16,14,509490
15,2,7.105678900506903e-09,5.049067263710899e-17,15,429806
16,1,8.44503274293768e-09,7.13185780292895e-17,16,364707
17,1,5.8314804647061e-09,3.400616441024887e-17,17,310197
18,2,8.837825536807373e-09,7.810716021904454e-17,18,392204
19,2,9.855213793077294e-09,9.712523890726093e-17,19,415040
20,2,6.2594998382518405e-09,3.9181338225074816e-17,20,414995
21,2,5.441108041947072e-09,2.9605656724141095e-17,21,456036
22,1,9.604846922421486e-09,9.22530844031495e-17,22,323594
23,3,1.0686354608955649e-08,1.1419817482834766e-16,23,563956
24,2,1.0371499367972483e-08,1.0756799913985361e-16,24,391057
25,1,2.2459408536170834e-08,5.044250317946233e-16,25,334324
26,2,1.0536712127723509e-08,1.1102230246251565e-16,26,522283
27,3,1.0536712127723509e-08,1.1102230246251565e-16,27,600810
28,1,7.829695407213783e-09,6.13041301697446e-17,28,314375
29,1,7.698773260552973e-08,5.927110971740545e-15,29,333948
