,nit,x_diff,f_diff,p_id,duration_microsec
0,4,3.587354772012696,12.93443243204111,0,1123384
1,5,1.4070839940674684,1.9899181141865974,1,1033833
2,5,2.8141608621264953,7.959662381108281,2,1159658
3,7,3.5873543903930756,12.934432432071517,3,1250527
4,8,2.8141513808209346,7.959662414590499,4,1144690
5,6,1.9899122393784592,3.9798311905540977,5,766166
6,4,4.102277760738632,16.914202936538224,6,562991
7,4,2.814157922181993,7.959662382832525,7,546351
8,6,2.224790729244615,4.974790247876195,8,701112
9,5,3.1463188979207843,9.949560300581595,9,798385
10,5,4.221217054395917,17.909202490962436,10,1194622
11,5,2.9848545745567936,8.954601243852057,11,707863
12,4,2.814160263365976,7.959662381686071,12,611142
13,4,4.102281574776935,16.91420287657763,13,620227
14,8,2.224836498965409,4.974790804515575,14,1044109
15,5,3.587349217934979,12.934432438581645,15,638586
16,5,2.2247904751419885,4.97479024765463,16,1004067
17,4,1.4070785375208423,1.9899181249499982,17,621223
18,8,3.587355199303847,12.934432432133686,18,994413
19,6,2.2247906451406987,4.9747902476473875,19,671335
20,5,1.989910278004365,3.9798312083872034,20,965611
21,8,2.224804129855758,4.974790296887479,21,1017622
22,8,0.9949607941532349,0.9949590581385834,22,1158231
23,3,3.1463171592347696,9.94956029873937,23,497450
24,6,2.8141599372934163,7.959662385309819,24,704611
25,4,2.984846292562618,8.95460126857418,25,486717
26,5,2.224784957695153,4.974790259560114,26,808771
27,7,0.9949586272926606,0.9949590570935811,27,919705
28,8,3.587356074901026,12.934432433804512,28,794740
29,4,2.2247895573053773,4.974790248244915,29,540246
