,nit,x_diff,f_diff,p_id,duration_microsec
0,33,1.46477515521899e-05,6.524359496568753e-08,0,2859121
1,29,0.00029031401394401203,1.4750368405937528e-07,1,2400740
2,33,0.00029975182245254656,1.7953261728509552e-08,2,3677863
3,39,0.0002658636346839795,1.9056797996514047e-08,3,3414071
4,34,0.00018337228140103697,6.714798768479046e-09,4,2883253
5,30,0.0005127749049033387,8.338081744371854e-08,5,2858158
6,40,0.00046555348282032805,5.676801769509656e-08,6,3513202
7,24,0.00014143112592268948,6.29948440437253e-08,7,2000837
8,36,0.001339090392900479,5.035260429867912e-07,8,3109834
9,33,0.0003704119709892833,2.765530154951529e-08,9,3244935
10,36,0.0007166461939468219,5.210252324680966e-07,10,3222517
11,39,0.0008688035149643971,1.730365895053089e-07,11,3227069
12,35,0.00021462864260189495,9.217922749345773e-09,12,3235509
13,39,1.4092052343966513e-05,8.110119095623984e-08,13,3450441
14,33,0.0008736528987017219,1.555030287300502e-07,14,3020910
15,30,0.0015789457233040594,5.079944196427772e-07,15,2640527
16,37,0.00018470190114921954,6.963708038468517e-09,16,3429058
17,35,5.5741308508322174e-05,6.875243879669635e-10,17,3063711
18,34,0.0010198299601145422,3.4368691096651376e-07,18,3060021
19,33,2.2276168442954974e-06,1.4474818668733282e-12,19,3184484
20,32,0.0006548518479572181,1.592768759817057e-07,20,2798179
21,31,0.0001726968303614999,4.07141370097076e-08,21,2900438
22,36,0.0009408083096751606,2.404195027321029e-07,22,3234430
23,36,2.419658614899055e-05,1.612437377270178e-10,23,3090002
24,35,0.001021739999297095,5.042712026605694e-07,24,3015178
25,35,0.0007585270814469441,1.1580675026947656e-07,25,3276537
26,26,0.00028561882214790733,3.161354835988332e-08,26,2103609
27,35,0.00027291746102823866,1.5375690446136196e-08,27,3202429
28,33,0.00021267090416452006,3.4453511672856555e-08,28,3055201
29,33,8.294127247288707e-05,5.4303564607512295e-09,29,2788823
