,nit,x_diff,f_diff,p_id,duration_microsec
0,8,1445.8269264159344,3296.962358790564,0,2735311
1,7,1357.3142661299087,3653.033359266964,1,2457186
2,7,1378.3822773945765,3515.0572351556048,2,2429132
3,5,1538.181865610937,3237.584257695118,3,1991910
4,7,1319.5599106234652,3316.7994010733287,4,2355201
5,5,1599.6768832453995,2981.4010152714654,5,1947968
6,20,1349.3073638306598,3454.997054077838,6,7370992
7,6,1220.1338796000994,3119.6138153357488,7,2172009
8,8,1383.3371938874627,3574.3760144494936,8,2536707
9,14,1394.9844015600518,3257.9143193174086,9,4461921
10,5,1368.5455295704144,3613.3426551850644,10,1965337
11,6,1289.289604656846,3178.580179097279,11,2182269
12,8,1470.9742007677157,3336.514310849151,12,5025272
13,10,1537.110158623166,3573.9644447861265,13,4034835
14,7,1167.7653999566146,3238.544676050935,14,2558310
15,6,1418.0671549816805,2763.773349468851,15,2155862
16,11,1377.5986355884843,3474.9974369520005,16,3949792
17,13,1394.3567747566833,3534.6876319932194,17,4028814
18,10,1436.5230205136138,3317.10025336547,18,3393616
19,11,1148.5293643341813,3297.062572054385,19,3712702
20,11,1448.6389492725966,3435.676155104107,20,3618987
21,9,1346.6356890349095,3554.961664505351,21,2993806
22,6,1390.1669223884053,3337.376989514128,22,2413559
23,10,1417.4817365105466,3040.546461506189,23,3198010
24,12,1401.914700496724,3415.8932112415223,24,4197906
25,13,1319.7734788701612,3238.6368022770203,25,3800031
26,10,1363.444782025913,2902.8421772663205,26,3197855
27,10,1561.7463052883145,2882.155416754172,27,2788459
28,10,1212.2888795266579,3356.615518667312,28,4076197
29,7,1291.5468239355007,3277.2364519618745,29,2501532
