,nit,x_diff,f_diff,p_id,duration_microsec
0,2,2.613369305365995e-07,6.829699126229143e-14,0,641244
1,2,1.302698479485166e-07,1.6970233284529634e-14,1,416856
2,2,9.384877887338885e-08,8.807593296026236e-15,2,433399
3,2,3.7213185843290483e-07,1.3848212006072753e-13,3,411501
4,2,9.388446240630552e-08,8.814292281320994e-15,4,403450
5,2,5.366357781234387e-07,2.879779583621486e-13,5,428896
6,2,4.585978489456275e-08,2.1031198705755657e-15,6,509231
7,2,1.882484723718757e-07,3.543748735034485e-14,7,400313
8,2,1.3540962849392338e-07,1.8335767488862346e-14,8,421625
9,2,1.120702191552154e-06,1.2559734021498011e-12,9,401778
10,2,6.581362341813416e-07,4.331433027423977e-13,10,433867
11,2,3.2167698151781485e-08,1.0347608043841258e-15,11,427440
12,2,6.071736702680811e-07,3.6865986586681254e-13,12,406729
13,2,3.7882711204131426e-07,1.4350998081756246e-13,13,420134
14,2,5.278922890880747e-07,2.786702688786475e-13,14,414403
15,2,2.0770675915373838e-07,4.314209779814909e-14,15,402120
16,2,5.747199217603345e-07,3.30302988468205e-13,16,428882
17,2,1.5778065183227478e-07,2.4894734092617513e-14,17,418681
18,2,3.3406713726176925e-07,1.1160085219827376e-13,18,412106
19,2,2.6837293946423317e-07,7.202403463667295e-14,19,402827
20,2,3.63861295190823e-07,1.3239504213794324e-13,20,426844
21,2,2.681979033235214e-07,7.193011534713295e-14,21,414763
22,2,6.605378273525569e-07,4.3631022136363624e-13,22,405144
23,2,1.1302129592064374e-07,1.277381333158172e-14,23,412865
24,2,2.653669929177077e-07,7.041964093018672e-14,24,404453
25,2,8.847612886220121e-07,7.828025378440835e-13,25,393921
26,2,1.5817043314404706e-07,2.5017885920975457e-14,26,429832
27,2,2.985865866996346e-07,8.91539497569384e-14,27,416355
28,2,1.1555857649795613e-07,1.335378460223398e-14,28,403967
29,2,1.0579320831684682e-06,1.1192202925971747e-12,29,427962
