,nit,x_diff,f_diff,p_id,duration_microsec
0,106,2.6943711609403323e-06,1.4532727487835765e-12,0,1574733
1,112,1.4771361089708962e-06,4.649097651382253e-12,1,1549261
2,112,1.80655459714828e-06,1.715867607870201e-11,2,1532793
3,108,2.797436518050651e-06,1.5873986509644883e-12,3,1519935
4,108,1.612039396321321e-06,6.348960468431811e-12,4,1531714
5,116,3.8024820988643765e-06,3.0813613850418e-12,5,1686403
6,114,3.57800385827146e-06,3.640107621337296e-12,6,1910057
7,87,2.770400429680883e-06,5.888756267935923e-12,7,1335011
8,104,3.120708897159368e-06,2.1100011834886405e-12,8,1473210
9,103,3.1217479128446878e-06,2.430313060479084e-12,9,1438537
10,114,2.618263753776843e-06,1.3702426668134873e-12,10,1661609
11,117,2.7800839400378527e-06,1.7066684476890732e-12,11,1777473
12,118,1.2499023735567636e-07,7.142234458983067e-12,12,1703653
13,127,1.4375057766686116e-06,5.832063014852047e-11,13,1967681
14,96,2.6966506371368796e-06,2.3696160509003387e-12,14,1544041
15,86,1.4348216830558773e-06,6.284882241585554e-12,15,1321469
16,120,9.654692833925928e-07,1.0619832832023574e-11,16,1750621
17,99,1.576893558303728e-07,7.989010531677161e-12,17,1361450
18,94,6.874413361234884e-07,3.5195027963576694e-12,18,1323377
19,104,2.513304500687747e-06,1.358973666519884e-12,19,1451915
20,110,3.341710214582252e-06,2.767924608548801e-12,20,1547123
21,101,1.8586790891409577e-07,7.272396794513353e-12,21,1420031
22,129,2.9060352566033854e-06,8.635467298196599e-12,22,1863124
23,96,1.0581583851611177e-06,9.725581447724627e-13,23,1730345
24,104,3.7339710356188688e-06,4.1572335335646394e-12,24,1607315
25,92,8.088785090020488e-07,1.3128029851978984e-11,25,1308516
26,94,2.2984048475020214e-06,1.2773648788861176e-12,26,1394036
27,108,2.826456376714727e-06,3.12358179828379e-12,27,1594356
28,101,7.057383279377307e-07,2.361477738689281e-12,28,1565686
29,94,2.69822425164094e-06,1.6595824928074532e-12,29,1464836
