,nit,x_diff,f_diff,p_id,duration_microsec
0,58,686.0951425245615,711.1443248608055,0,1100065
1,53,496.8173786614387,612.0396218950742,1,1017355
2,55,587.4109067031607,513.2464086042246,2,1022822
3,48,570.9600891667274,750.2478578253805,3,929535
4,51,416.50933330902217,572.4876001665858,4,1019329
5,47,651.3213450826773,651.4546445345337,5,909028
6,57,651.3213444932334,651.454644534532,6,1057227
7,50,705.3842743031413,691.0066662630168,7,925863
8,54,570.9600881607893,750.2478578253783,8,979127
9,52,610.3298060245467,809.937538151648,9,966798
10,64,651.3213368176492,651.4546445345316,10,1168219
11,58,686.0951362866721,711.1443248608032,11,1079130
12,54,686.0951354674064,711.1443248608016,12,1010143
13,48,416.5093355454534,572.4876001665887,13,999512
14,52,705.3842742984681,691.0066662630168,14,1036044
15,54,546.9506252533895,770.3855164231641,15,1009217
16,64,496.8173756354411,612.0396218950731,16,1221441
17,63,705.3842761401584,691.0066662630188,17,1225515
18,53,771.8750170903917,592.2134529721698,18,1036424
19,53,587.4109029633688,513.2464086042262,19,980231
20,57,705.384271448507,691.0066662630162,20,1034729
21,58,570.9600916085919,750.2478578253787,21,1070118
22,60,686.0951321684141,711.1443248608025,22,1191758
23,52,416.50932847142036,572.4876001665866,23,1015366
24,50,570.9600876517958,750.2478578253781,24,959678
25,70,705.384271498384,691.0066662630169,25,1520038
26,61,651.32133936053,651.4546445345304,26,1105114
27,50,651.3213428963297,651.4546445345313,27,929500
28,56,496.8173805275048,612.0396218950722,28,1095379
29,52,651.321342195287,651.4546445345304,29,1000297
