"","x"
"1",-6.27654690137756
"2",-5.9155423265125
"3",-4.89696668917243
"4",-3.57100589483632
"5",-2.56339194042782
"6",-1.86382607327816
"7",-1.95394172292567
"8",-1.72019381231091
"9",-1.627636631095
"10",-2.8462423618927
"11",-3.67487273507038
"12",-5.99826770670911
"13",-3.36198943649854
"14",-5.09117620036968
"15",-2.69557653265823
"16",-3.73886657676089
"17",-1.84926617509246
"18",-2.75723250960348
"19",-1.6693968206745
"20",-2.40930750295952
"21",-2.14136250466338
"22",-2.4122611690005
"23",-2.94119131436838
"24",-2.98634815094383
"25",-2.90385229323928
"26",-3.64976516799779
"27",-2.07614004363719
"28",-4.42557117143105
"29",-1.88828851192322
"30",-4.80573806688457
"31",-4.52587366111649
"32",-4.01893625105909
"33",-3.74378275967866
"34",-4.02520405343444
"35",-4.4831928808797
"36",-4.36682485974787
"37",-3.44269283076134
"38",-2.64094869873305
"39",-2.46031183555775
"40",-2.42294413204093
"41",-6.11480699208368
"42",-6.18173903583599
"43",-6.16017936553549
"44",-5.06518580869727
"45",-5.5585489839674
"46",-5.73604544415489
"47",-5.48926310676287
"48",-2.24726234050065
"49",-5.53896008483999
"50",-4.44494783553893
"51",-4.61871075592069
"52",-1.87424808038466
"53",-3.62679044952185
"54",-3.38688271957686
"55",-3.8234284673071
"56",-1.37466476062493
"57",-3.19220755940893
"58",-2.56627047022177
"59",-3.4846884517091
"60",0.361904826256092
"61",-4.35534223920763
"62",-2.74269814885072
"63",-0.73646618281212
"64",-5.08592099804644
"65",1.5128767033344
"66",-1.36168542987417
"67",-1.91234154293018
"68",-1.89950193036505
"69",-0.709061654893543
"70",0.0731503621894139
"71",0.169068250546398
"72",1.01253951482045
"73",1.17819905722688
"74",0.554065440976215
"75",0.343122240043565
"76",0.755899848009008
"77",1.3368102613873
"78",1.76303970310621
"79",1.68429579347505
"80",1.56544233359869
"81",1.32664454769392
"82",0.330513172099431
"83",1.73875884562552
"84",1.11236550674725
"85",1.03577006614194
"86",-1.00437487290616
"87",0.859714146037581
"88",0.586087200012252
"89",0.565734930065981
"90",0.388147265353913
"91",0.218248084258479
"92",0.742903125368352
"93",0.728170385710343
"94",0.0967184364546663
"95",0.469169789617246
"96",0.401903236994344
"97",-0.831156872548514
"98",0.237653019994975
"99",-0.57964722602306
"100",0.367625928089192
"101",1.40997352761818
"102",0.516027759981342
"103",-1.01743099097586
"104",0.517603760488726
"105",0.631067867586478
"106",-2.67133118274914
"107",-1.62691158181268
"108",-2.70481792113404
"109",-3.56238375754829
"110",-4.42128514892268
"111",-4.33035078444417
"112",-0.10142563922468
"113",-0.746369133188681
"114",0.229186827543579
"115",-0.550974253099385
"116",-1.51017348791185
"117",0.420136873305024
"118",-0.800496002665595
"119",-1.55878628127236
"120",-1.87909113155165
"121",-1.50358957690155
"122",-0.354709678492029
"123",-1.15524966151631
"124",0.378008462311423
"125",0.232307259664355
"126",-1.89838036940702
"127",0.63619180638817
"128",0.328190242440577
"129",0.905369668856852
"130",0.679781681475817
"131",0.265869489601606
"132",0.0251058906612817
"133",0.819670502126761
"134",0.64073464328987
"135",1.7169465314402
"136",0.297574509629091
"137",0.390546969758668
"138",-0.440995832125595
"139",-0.0824179751114538
"140",-1.99339228703192
"141",-0.0457897970509597
"142",-1.32581392775651
"143",0.920289221068326
"144",-3.231295597954
"145",-0.595671343705009
"146",0.345598416381153
"147",1.16918465517941
"148",-0.440158756460263
"149",0.542973166912198
"150",0.299052519724983
"151",0.839941743128015
"152",1.93974264551253
"153",-0.764990785882001
"154",-0.0260969818687507
"155",0.666242743998018
"156",1.38770544657687
"157",-2.03858921128955
"158",-0.894955716960643
"159",0.0898451612704989
"160",-2.35376036640527
"161",1.20674959193185
"162",1.50175125158907
"163",-1.78114137597493
"164",-2.85865243930107
"165",-3.19147686114796
"166",-3.31835552323213
"167",-2.67728324833498
"168",1.79361613720864
"169",-2.32500018539891
"170",-3.26561212359231
"171",-3.92296077881331
"172",-3.16005801041731
"173",-4.28477273362372
"174",-2.75880178135394
"175",-1.36085953539133
"176",-3.82372456651526
"177",-3.91581366146825
"178",-4.31782542897419
"179",-3.54261515564473
"180",-0.0973948921301129
"181",-3.82362811204545
"182",-2.4792682962796
"183",0.202436485944428
"184",-3.11802193547549
"185",-3.55710042654236
"186",-2.52290445676534
"187",-2.41847476480932
"188",-2.00078228231885
"189",-2.07408671192742
"190",-2.36058536602039
"191",-1.48296365686841
"192",-2.33925533625314
"193",1.04007613260805
"194",1.85331558767119
"195",1.05902914485865
"196",-4.64788263820751
"197",-3.78531681784765
"198",-3.39025277249066
"199",-1.63490273282509
"200",-2.41617020534349
"201",-2.06279592186517
"202",-1.19586783472837
"203",-2.46553446787435
"204",-3.79518130956267
"205",-2.23610671610198
"206",-3.22239804997983
"207",-4.05177818401748
"208",-1.67080820329402
"209",1.34887449829704
"210",-4.30230018854598
"211",-3.56652114957512
"212",-3.19392275843286
"213",-3.04474168356267
"214",-4.00354557007918
"215",-3.72665680850979
"216",-2.63474737064749
"217",-3.15308259964794
"218",-0.906985499501842
"219",-2.96327328948734
"220",-2.30759732782656
"221",-2.06310641106885
"222",0.319713925328649
"223",-1.30240018592093
"224",-0.827446887870083
"225",-0.84028332697979
"226",-0.605329449669465
"227",-1.48675073560667
"228",0.361636353997798
"229",-1.38481299136418
"230",-2.11836287156975
"231",1.23439092133229
"232",-0.824292491718349
"233",-1.77865387168738
"234",-1.91902182272633
"235",-1.79957248413742
"236",-2.43709106214449
"237",1.00385221733375
"238",-2.1205564224099
"239",-2.52010492310418
"240",1.45157443881604
"241",-0.627567445716758
"242",-2.38475736584335
"243",1.13681495342334
"244",0.950985654501728
"245",-1.95289833146062
"246",1.33770319669619
"247",1.84087369932574
"248",-1.87683970401562
"249",-0.554586738654363
"250",-2.71827782697526
"251",-1.36316936975807
"252",-0.856394376399494
"253",1.22275052117464
"254",0.788576009865939
"255",1.06690769550263
"256",1.38496812156048
"257",1.93135866163345
"258",-0.11934653632678
"259",1.29961897017998
"260",1.60025541258852
"261",-0.00481687925251695
"262",-0.899415881960843
"263",0.970928857530244
"264",0.0689893738869849
"265",0.735371488486045
"266",-2.29431062449677
"267",-3.06477262818472
"268",0.931665866283731
"269",0.716920623447184
"270",-2.81246304096048
"271",1.22258986548765
"272",0.728725490109731
"273",0.88734228150964
"274",0.991490205926149
"275",0.866404130310646
"276",0.72587279475467
"277",0.892468708467739
"278",1.19164777886566
"279",0.0457883504328305
"280",0.926353588028276
"281",0.521119958893955
"282",0.476664499433968
"283",-0.105590732428785
"284",0.955867161705041
"285",-1.05857251251897
"286",-0.0173941810938746
"287",-0.652239414337706
"288",-0.70307616648936
"289",-0.354459906539619
"290",0.461779790601037
"291",-0.261398495193569
"292",-0.495994103918391
"293",-0.432945387588226
"294",-1.47510018121955
"295",-0.292067146987665
"296",-1.28073005437253
"297",-0.386256486921654
"298",-1.18807109863419
"299",-2.15642572044546
"300",-1.09692829881799
"301",-0.917309534655157
"302",-2.27665819400745
"303",-2.90001423266165
"304",-2.18899033004989
"305",-1.66162248518599
"306",-1.92702021135285
"307",-1.16291190227834
"308",-1.529235197602
"309",-2.10556023672271
"310",-2.4361244332072
"311",-0.74012457947122
"312",0.371037754463592
"313",-1.80904364024773
"314",-0.934891737918403
"315",0.134067662210755
"316",0.403644406219918
"317",0.67425491588371
"318",0.593874818139445
"319",0.0214033338552858
"320",1.10770385879102
"321",-2.55550067171257
"322",0.830371168258609
"323",-1.40143314813868
"324",-1.36179645889949
"325",-1.15807067957754
"326",-1.97888647139615
"327",-1.30396303035884
"328",-1.89771361934512
"329",-1.38041183154088
"330",-0.479973934636318
"331",-3.29666458546148
"332",-3.50336447996936
"333",-3.00267068174074
"334",-2.69966251246955
"335",-2.04951831875656
"336",0.115426138448141
"337",-1.63071429582678
"338",-0.242644419565561
