"","x"
"1",-1.78178157799296
"2",-1.80882544798863
"3",-1.87070063997584
"4",-1.92706799008029
"5",-1.93715684413987
"6",-1.90404771388743
"7",-1.89003168686486
"8",-1.87534080578105
"9",-1.82688671861624
"10",-1.77419038001488
"11",-1.75228433074563
"12",-1.68318377840721
"13",-1.55902382585068
"14",-1.46714976754228
"15",-1.43479603034633
"16",-1.66099331641813
"17",-1.63681637323682
"18",-1.60086489756202
"19",-1.52176406283427
"20",-1.32784067668999
"21",-1.28749768780941
"22",-1.25573199304375
"23",-1.3169794036966
"24",-1.39388980265512
"25",-1.46298231704609
"26",-1.49035201120237
"27",-1.48432164323741
"28",-1.46513477929082
"29",-1.44170323229746
"30",-1.42101377206278
"31",-1.40725636144902
"32",-1.40965098126256
"33",-1.46409603883956
"34",-1.39818381534411
"35",-1.33461706224362
"36",-1.52795578192193
"37",-1.79792666652729
"38",-1.79436613315843
"39",-1.63873110880535
"40",-1.75986978309354
"41",-1.84333320245273
"42",-1.87874156281626
"43",-1.91659600206523
"44",-1.94681454449066
"45",-1.9655811736336
"46",-1.97964487264942
"47",-1.99589117056495
"48",-2.02738924245881
"49",-2.173167440552
"50",-2.34247301250902
"51",-2.50487961039743
"52",-2.49189153295252
"53",-2.48021288747246
"54",-2.59607980473412
"55",-2.68122764104915
"56",-2.69524537262656
"57",-2.6422838508766
"58",-2.63719588214506
"59",-2.67902793721149
"60",-2.79092734068928
"61",-2.91607299740636
"62",-3.04215006122659
"63",-3.12135057353864
"64",-3.14578488347465
"65",-3.15353990864136
"66",-3.15441712943892
"67",-3.11596703282696
"68",-3.07504717778158
"69",-2.81815530586276
"70",-2.6049171461983
"71",-2.46347235964444
"72",-2.41355847080484
"73",-2.38768596477078
"74",-2.37402438873612
"75",-2.38290984192519
"76",-2.27962323025024
"77",-2.21964029506949
"78",-2.21269622818431
"79",-2.15558951229017
"80",-2.07179615952331
"81",-2.02126087575802
"82",-1.9948382396496
"83",-2.01433956761752
"84",-2.04405177619164
"85",-1.98954817489896
"86",-1.87323544280982
"87",-2.15418466306561
"88",-1.808406353787
"89",-2.96926262749287
"90",-1.39718022967147
"91",-3.11048206820021
"92",-3.05066384100887
"93",-2.79715698587995
"94",-1.45036727797466
"95",-1.44047600878144
"96",-1.31882854079875
"97",-2.03396376646335
"98",-1.99194443449508
"99",-2.12228164870181
"100",-1.82000211419469
"101",-2.03369116883136
"102",-2.01853780664475
"103",-1.87758089550499
"104",-1.94768207304839
"105",-1.93648182095949
"106",-1.73665345019863
"107",-2.04262151613577
"108",-2.06876698319291
"109",-2.02206362938379
"110",-2.03876164492823
"111",-1.97858299635576
"112",-2.04260911518107
"113",-1.8725894364417
"114",-1.96303869672752
"115",-1.889978650581
"116",-1.88776144627198
"117",-1.90377564112992
"118",-1.77027154487852
"119",-1.66068496429946
"120",-1.71540369356501
"121",-1.66993600594839
"122",-2.05312029581586
"123",-2.01543171621837
"124",-1.98935282863499
"125",-1.96588224502226
"126",-1.88997861550469
"127",-1.85599166711796
"128",-1.91117851903707
"129",-1.85502201902499
"130",-1.72340502913724
"131",-1.75082486960945
"132",-1.63653419097551
"133",-2.18778883746982
"134",-1.92375737362899
"135",-1.8028061491475
"136",-1.69092185360833
"137",-1.65805386271887
"138",-1.70663697039327
"139",-1.734906104918
"140",-1.64282728288289
"141",-1.67161346107448
"142",-1.60402003661519
"143",-1.55423703627179
"144",-1.62483714696395
"145",-2.09210211025529
"146",-2.13879626830535
"147",-1.80439405045101
"148",-1.66378651656238
"149",-1.7439218697278
"150",-1.74178205152654
"151",-1.63850746545674
"152",-1.66945274508902
"153",-1.47485268244978
"154",-1.51580895764484
"155",-1.48471018593782
"156",-3.13414452222615
"157",-2.88676862560474
"158",-1.47169363106577
"159",-1.36917102265088
"160",-2.21456835036956
"161",-2.17429899697084
"162",-2.25058562991463
"163",-2.22019137775486
"164",-2.34338342710427
"165",-2.26819252480802
"166",-2.30760171030319
"167",-2.29702843330336
"168",-2.24853095745349
"169",-2.33389819033974
"170",-2.37786696978946
"171",-2.38802241452824
"172",-2.06890478910273
"173",-1.98065680874934
"174",-1.95749593666376
"175",-1.3500061004483
"176",-2.44534015016185
"177",-2.40961803509219
"178",-2.44903254884078
"179",-2.4479057510701
"180",-2.40305805868699
"181",-2.50970989219667
"182",-2.38526380193981
"183",-2.25875859427574
"184",-1.48613525222868
"185",-1.54787110692796
"186",-1.48799579389224
"187",-1.45844483813648
"188",-1.39976858148293
"189",-2.37836856051667
"190",-2.37367022897745
"191",-2.46875026388185
"192",-2.50026444062634
"193",-2.50835200151664
"194",-1.51457772058339
"195",-1.54537507004418
"196",-2.49221199668764
"197",-2.48873968266319
"198",-2.44213605612233
"199",-2.49361195391743
"200",-2.63537253530884
"201",-2.53659052455122
"202",-2.55400454597846
"203",-2.6237972694443
"204",-2.48582204001392
"205",-2.73858572049165
"206",-2.64610471263379
"207",-2.68478003617217
"208",-2.55810674404978
"209",-2.50650760206799
"210",-2.43978979306598
"211",-2.59092241129105
"212",-2.48247641210739
"213",-2.42036963866234
"214",-2.40962103739621
"215",-2.47970699618699
"216",-2.53441360070173
"217",-2.72071110799626
"218",-2.6104394766749
"219",-2.69726946389706
"220",-2.64068605457493
"221",-2.68865721963521
"222",-1.58008733005536
"223",-1.42024009562486
"224",-1.33270220986698
"225",-1.63565431880962
"226",-1.32996940594138
"227",-2.71049113313175
"228",-2.83473239150738
"229",-2.82821940494474
"230",-2.78195389036773
"231",-2.95108159896078
"232",-2.89484460698094
"233",-3.00181032737342
"234",-2.71526010342761
"235",-2.73163771848963
"236",-2.70375924198053
"237",-2.76005449674506
"238",-2.69474178092615
"239",-2.90397315824482
"240",-2.7801364436371
"241",-1.35949324736271
"242",-2.68010810020498
"243",-1.55814350781318
"244",-1.42632443267253
"245",-1.36008885055655
"246",-1.42258001910299
"247",-1.55378953687015
"248",-1.5752726882028
"249",-1.59575758260697
"250",-1.59072755490379
"251",-1.59224293524464
"252",-1.45514839742824
"253",-1.38292803543425
"254",-1.45481672526635
"255",-1.53451965841051
"256",-1.40310912005673
"257",-1.5418268308762
"258",-1.46857349939571
"259",-1.42787349233271
"260",-1.455921313973
"261",-1.47100250275927
"262",-1.60431071570299
"263",-1.4486424004977
"264",-1.44218845711003
"265",-1.41641086132165
"266",-1.50854608463187
"267",-1.51206429689209
