"","x"
"1",-9.67338894409483
"2",-9.41025563390274
"3",-13.1162545468605
"4",-14.2657118762649
"5",-10.9162717853857
"6",-10.3288714420277
"7",-10.5331897028601
"8",-10.0174471517739
"9",-12.518902096568
"10",-12.6383485734225
"11",-11.6957385669617
"12",-12.2596683981432
"13",-11.2069454686895
"14",-10.422153374101
"15",-10.4724178259589
"16",-11.3412936364661
"17",-12.9014243650255
"18",-12.1550391645325
"19",-11.333013552079
"20",-11.0360999371873
"21",-11.8112646687517
"22",-11.9644205155766
"23",-11.8965857519405
"24",-12.7560109025202
"25",-11.9413226723208
"26",-10.5754298971687
"27",-10.6495933381053
"28",-10.624603834048
"29",-10.9529978556199
"30",-10.3548051829695
"31",-10.1786146599905
"32",-11.1510111434581
"33",-13.0785251210793
"34",-12.6702288379761
"35",-12.6449672570202
"36",-14.7146891016645
"37",-9.53544799522715
"38",-9.77796703049447
"39",-9.9453034564129
"40",-9.93232777872665
"41",-9.66288860671599
"42",-10.3793073062941
"43",-10.1320635579154
"44",-9.22998071775108
"45",-9.66748849686516
"46",-10.1004973539345
"47",-12.4484614038502
"48",-10.8695570320466
"49",-9.82648953709427
"50",-7.0394182164515
"51",-6.84097830834825
"52",-8.72522823532954
"53",-7.42946820043555
"54",-7.82472468962876
"55",-9.19184183519352
"56",-9.24114255719524
"57",-9.95724212524982
"58",-10.2766211642209
"59",-9.49280206161412
"60",-9.50649679424293
"61",-6.93514710148181
"62",-6.73469912610294
"63",-6.04706881536177
"64",-7.33294199280473
"65",-8.92495721182408
"66",-6.71015772356085
"67",-7.19628539947021
"68",-5.92279356095788
"69",-8.00844760878032
"70",-6.88590697252893
"71",-6.91938943484942
"72",-5.2310514658747
"73",-5.21004258498088
"74",-5.81472132367481
"75",-6.42889281760455
"76",-5.93583717445711
"77",-5.83351612155381
"78",-7.37346376421813
"79",-7.38477411411503
"80",-6.89964450016485
"81",-8.00527837489846
"82",-7.04553307755991
"83",-7.15199228594072
"84",-8.17379091311794
"85",-7.62372751351333
"86",-9.18062132479037
"87",-11.5032005818506
"88",-12.0655573599529
"89",-12.0949747533095
"90",-8.45398457840016
"91",-8.74254044552069
"92",-8.98229264559003
"93",-10.038891864679
"94",-9.68660128861281
"95",-10.4615033341297
"96",-10.035032679094
"97",-9.58014721625472
"98",-9.32554554039696
"99",-9.31363092590213
"100",-8.90209559586238
"101",-10.7451321416602
"102",-10.9006151519945
"103",-11.1791679090607
"104",-11.324337272469
"105",-11.2072260498483
"106",-8.54546479478889
"107",-7.74630653777233
"108",-7.8773503034167
"109",-6.46865490253812
"110",-8.26427344777535
"111",-8.49017466206976
"112",-8.88231912544497
"113",-11.4024601436943
"114",-9.63790383762143
"115",-9.07622043206674
"116",-9.07074643173022
"117",-7.91611140667269
"118",-8.66842379045451
"119",-11.9573717576204
"120",-10.9267172839131
"121",-8.7209410249418
