"","x"
"1",-1.47230679971227
"2",-1.6776321518109
"3",-1.78024153307366
"4",-1.8208266877725
"5",-1.90915463169738
"6",-1.69696078892429
"7",-1.71824991660389
"8",-1.7505155346479
"9",-1.71395603296283
"10",-1.77058095152662
"11",-1.81605959561136
"12",-1.77375175046984
"13",-1.53657308841292
"14",-1.47914969790076
"15",-1.42445050772183
"16",-1.85962522462421
"17",-1.60295162049293
"18",-1.56061764263104
"19",-1.62783250942438
"20",-1.35332874853192
"21",-1.24011011483833
"22",-1.16100907950525
"23",-1.25254086920791
"24",-1.39916002076239
"25",-1.56365740239808
"26",-1.50958539025152
"27",-1.42982558422793
"28",-1.41679708609009
"29",-1.42088806913044
"30",-1.40844106187229
"31",-1.43464674829158
"32",-1.29858639485743
"33",-1.38340540537167
"34",-1.45962664745338
"35",-1.47741328863263
"36",-1.56480462976746
"37",-1.82019617228153
"38",-1.90102581172244
"39",-1.59111718816148
"40",-1.55355450045816
"41",-1.86161680811744
"42",-1.93034195383141
"43",-1.99528576813394
"44",-2.05306927118474
"45",-1.90447452949321
"46",-1.56524873747998
"47",-1.57683279925673
"48",-1.87550400854008
"49",-2.09060265610523
"50",-2.27517288054082
"51",-2.61909243790855
"52",-2.45147405670808
"53",-2.45681673064809
"54",-2.66255397074836
"55",-2.60316007613748
"56",-2.36860518195563
"57",-1.98541123281024
"58",-2.100094176192
"59",-2.2727258137343
"60",-2.2020807948441
"61",-2.60932615857652
"62",-3.51443419661558
"63",-3.59230360986356
"64",-3.03280100767164
"65",-3.21120333093126
"66",-3.53056258645273
"67",-3.43871201380227
"68",-3.28076913749375
"69",-2.6899983289908
"70",-2.20068812831484
"71",-2.044986918412
"72",-2.17176888780582
"73",-2.20063784777091
"74",-2.18303101015986
"75",-2.54450734135141
"76",-2.19036417481622
"77",-2.06325556366391
"78",-2.45651915805133
"79",-2.33121085773471
"80",-2.00468446784156
"81",-1.92308340952708
"82",-1.85030290517375
"83",-1.88533477761294
"84",-2.25894894663134
"85",-2.1928312216792
"86",-1.78029667831234
"87",-2.14063607552619
"88",-1.89359118085639
"89",-3.42129849464427
"90",-1.34554548715775
"91",-3.56271977396038
"92",-3.77119496148058
"93",-2.81195784723985
"94",-1.47358999889152
"95",-1.43761490461498
"96",-1.26469781534599
"97",-2.0483049251814
"98",-2.02029603878608
"99",-2.11878005341735
"100",-1.86405744087843
"101",-2.17613312748511
"102",-1.95479053280667
"103",-1.74776591976406
"104",-2.00538856087757
"105",-1.92840064000395
"106",-1.77745299721687
"107",-1.99445189032813
"108",-2.16407686984047
"109",-2.01725351465025
"110",-2.14583663689331
"111",-2.04929849499125
"112",-2.18593373747811
"113",-1.69116967088646
"114",-2.10409518470575
"115",-1.97135235019534
"116",-1.88506966574726
"117",-1.81717472047393
"118",-1.83948267115917
"119",-1.5871891907587
"120",-1.78039157565437
"121",-1.71893122145613
"122",-1.89186261610572
"123",-1.93414514186129
"124",-2.05851431173955
"125",-1.92430789915773
"126",-1.97157520517572
"127",-1.85589078996971
"128",-1.7234591862539
"129",-1.81304500014481
"130",-1.66978419418444
"131",-1.69925676953033
"132",-1.51662001618941
"133",-2.26827153235427
"134",-1.88338066728648
"135",-1.80089123257163
"136",-1.56046811011842
"137",-1.70039866025543
"138",-1.82465018278276
"139",-1.69965713235469
"140",-1.67040753501924
"141",-1.69195203517438
"142",-1.63773015577435
"143",-1.56760174449068
"144",-1.63465613686148
"145",-2.03124516520103
"146",-2.12960409250634
"147",-1.85497777040244
"148",-1.76820733449326
"149",-1.71860789122276
"150",-1.80333759937997
"151",-1.57299836762527
"152",-1.77221854091902
"153",-1.37831867886396
"154",-1.60072575877564
"155",-1.46263403472776
"156",-3.512424227895
"157",-2.80633672419679
