"","x"
"1",-10.4973908364876
"2",-9.91200316815439
"3",-11.8201174040201
"4",-14.7852181419262
"5",-10.3936883066079
"6",-9.66107073294034
"7",-10.1631935046311
"8",-9.78906107711864
"9",-12.759211748112
"10",-13.7326688919433
"11",-11.6053717742646
"12",-11.1506703818379
"13",-11.0210284161227
"14",-10.6791830341239
"15",-10.2794995869334
"16",-10.7000523298784
"17",-13.8143200399242
"18",-14.0149001382988
"19",-10.9398155274392
"20",-11.3524881732625
"21",-13.7510928416929
"22",-14.0388181157794
"23",-11.3813279891296
"24",-13.3357109480145
"25",-10.6223978577289
"26",-10.3080527073037
"27",-12.598133680566
"28",-11.1348304656381
"29",-12.8895618163636
"30",-10.1325090430388
"31",-10.2582834714742
"32",-10.8002601922615
"33",-13.91158162947
"34",-12.0810046101292
"35",-14.9953650293284
"36",-23.025816619717
"37",-10.1622327448476
"38",-9.75188364548978
"39",-9.77876700208349
"40",-9.57435498546331
"41",-10.3691858239028
"42",-9.81031940176411
"43",-10.0943553966964
"44",-9.51193028532705
"45",-9.4460913818468
"46",-10.0544660695113
"47",-12.6087403165105
"48",-10.4236825831603
"49",-9.00756375420615
"50",-6.9140994696753
"51",-7.06666382273267
"52",-8.49440515551017
"53",-7.335452505419
"54",-8.04055617382861
"55",-9.49954943213488
"56",-9.07845243935595
"57",-9.97948833222089
"58",-9.66643063701829
"59",-9.48744293991552
"60",-8.81518045344981
"61",-7.08831286218273
"62",-6.73098996309452
"63",-6.14556788465562
"64",-7.31857370685736
"65",-8.77217549646802
"66",-6.63083449730876
"67",-7.26176552770048
"68",-5.9938933596119
"69",-8.57639698586598
"70",-7.06106388450601
"71",-6.88691142260858
"72",-5.22837944639987
"73",-5.25203168793465
"74",-5.86652469425802
"75",-6.52683552109925
"76",-5.96786398848522
"77",-6.0282958325817
"78",-7.733579138233
"79",-7.42041980776367
"80",-6.83014586076354
"81",-7.61406899955025
"82",-7.2768239034322
"83",-7.08028176958875
"84",-7.74885463633335
"85",-7.47237956952989
"86",-9.1813904193368
"87",-9.95306577187732
"88",-13.0047429863477
"89",-10.9765303408434
"90",-8.42128818931257
"91",-8.83366476911277
"92",-9.17604495582289
"93",-9.79872678497669
"94",-9.39728929101645
"95",-11.591848034964
"96",-9.56237945893861
"97",-9.85725874826158
"98",-9.28781843525749
"99",-11.3817389491793
"100",-8.9432471514002
"101",-10.4913336805722
"102",-10.219450338302
"103",-11.0387019713303
"104",-10.6551000755166
"105",-10.6646426202746
"106",-8.72205680877186
"107",-7.62598197445408
"108",-7.98947267713922
"109",-6.53935337075627
"110",-8.27419153009881
