"","x"
"1",-1.84995246160024
"2",-1.85760631938961
"3",-1.86604911401037
"4",-1.88205178166562
"5",-1.87858804354553
"6",-1.85797190075149
"7",-1.85510215894604
"8",-1.84477219398997
"9",-1.80464817348376
"10",-1.76698968985386
"11",-1.75352102962449
"12",-1.70964527813096
"13",-1.62379279340157
"14",-1.54968424486676
"15",-1.49212366522225
"16",-1.60205968409872
"17",-1.54963084376311
"18",-1.53169958449243
"19",-1.50943161462374
"20",-1.41371715771308
"21",-1.38174849854712
"22",-1.34609790439703
"23",-1.36569655245072
"24",-1.39404537763759
"25",-1.41536169637661
"26",-1.42391068318634
"27",-1.43209636191663
"28",-1.4363520692827
"29",-1.43709552662325
"30",-1.43431300246157
"31",-1.42990733171733
"32",-1.43485311812458
"33",-1.47268467002887
"34",-1.45415919580996
"35",-1.45802681009659
"36",-1.53592962129966
"37",-1.66345283568975
"38",-1.71816196979034
"39",-1.69161016168205
"40",-1.75473100344506
"41",-1.81435152552987
"42",-1.84185665630974
"43",-1.88079090162024
"44",-1.91716853063095
"45",-1.94501453931983
"46",-1.972537384914
"47",-1.99880101103285
"48",-2.04963481647725
"49",-2.19040332977929
"50",-2.31744136717764
"51",-2.43634322853214
"52",-2.46484749755206
"53",-2.51814727859316
"54",-2.6165396937567
"55",-2.66693894329314
"56",-2.6653396449606
"57",-2.64630978694741
"58",-2.65162626923534
"59",-2.68148434883614
"60",-2.75494803067562
"61",-2.84485711837183
"62",-2.9560693286799
"63",-3.06164324110448
"64",-3.12219786809446
"65",-3.1487517395154
"66",-3.14538624420999
"67",-3.07960114857687
"68",-3.02435957088428
"69",-2.79023015085201
"70",-2.61502280094307
"71",-2.49626150970736
"72",-2.4368598130062
"73",-2.39681861191351
"74",-2.36129131639946
"75",-2.34884965122432
"76",-2.26717768212949
"77",-2.19402634640268
"78",-2.18531136906115
"79",-2.14096524398131
"80",-2.08219691485261
"81",-2.04720480124654
"82",-2.00939259791276
"83",-2.000416026266
"84",-2.01563723859076
"85",-1.98242137427377
"86",-1.91133516130316
"87",-2.13365986450022
"88",-1.78574957967919
"89",-2.92291075148307
"90",-1.41370438993148
"91",-3.07419867246453
"92",-2.99568029284823
"93",-2.77475592989373
"94",-1.44650518005474
"95",-1.42022124497158
"96",-1.37861686649633
"97",-2.00804341920918
"98",-1.95486684447356
"99",-2.11162746811875
"100",-1.79727833518668
"101",-2.00530034634306
"102",-2.00964319938432
"103",-1.89889625372935
"104",-1.89792694979073
"105",-1.88615720822622
"106",-1.73700947410185
"107",-2.03977775021575
"108",-2.0537299714214
"109",-2.03636732536185
"110",-2.01327045866023
"111",-1.96476148540948
"112",-1.99805864630594
"113",-1.90441925040745
"114",-1.92926855629187
"115",-1.84802358076814
"116",-1.85134216871874
"117",-1.86313676982288
"118",-1.76290121014062
"119",-1.68084188452411
"120",-1.72785819900653
"121",-1.69027169170199
"122",-2.05452206834643
"123",-1.98938415926481
"124",-1.938734587303
"125",-1.91602158436635
"126",-1.89322873445944
"127",-1.81494388708198
"128",-1.86027094189685
"129",-1.82600032570875
"130",-1.72664684096676
"131",-1.75250422995362
"132",-1.6137392742367
"133",-2.18549162050555
"134",-1.87310919393296
"135",-1.78178310891528
"136",-1.71863775472203
"137",-1.69325747380868
"138",-1.70210386250872
"139",-1.66598736642031
"140",-1.65440982573721
"141",-1.67117203046419
"142",-1.63841514632997
"143",-1.5924643332975
"144",-1.66736335857915
"145",-2.10746047706182
"146",-2.13226566519957
"147",-1.68880649739197
"148",-1.61932811748676
"149",-1.65271255798797
"150",-1.64423290978797
"151",-1.61218586331335
"152",-1.60260600406366
"153",-1.52050845406536
"154",-1.58916746467052
"155",-1.54704561240675
"156",-3.10941659742909
"157",-2.83555376295675
"158",-1.43947157417047
"159",-1.39147366288925
"160",-2.18663385631459
"161",-2.15524632394319
"162",-2.22922060734288
"163",-2.19810630270504
"164",-2.31428386712085
"165",-2.24906729276453
"166",-2.28585102003676
"167",-2.2818269778136
"168",-2.22950055487094
"169",-2.31069740540466
"170",-2.34521370146377
"171",-2.36043250837558
"172",-2.07911542447624
"173",-1.97603313164657
"174",-1.90810421577842
"175",-1.41666582837669
"176",-2.39643980416017
"177",-2.37152099985506
"178",-2.42118366244223
"179",-2.40794574587973
"180",-2.38159185144659
"181",-2.45975719927003
"182",-2.3815045271216
"183",-2.25636993629782
"184",-1.51313599767001
"185",-1.5499960847086
"186",-1.51044813345614
"187",-1.49864470928304
"188",-1.4744675915856
"189",-2.34255412706647
"190",-2.33988196850891
"191",-2.41018131762218
"192",-2.49363476779788
"193",-2.45494500908132
"194",-1.5074367257113
"195",-1.54650552395055
"196",-2.47751028923637
"197",-2.45973175850599
"198",-2.43730803641233
"199",-2.50931967214427
