"","x"
"1",-9.84950498808001
"2",-9.51121778133085
"3",-12.7017327515402
"4",-13.7631927804489
"5",-11.0573315794768
"6",-10.4881056820811
"7",-10.5699469015862
"8",-9.98876024393548
"9",-12.2723755743856
"10",-12.4795391800995
"11",-11.7453728295716
"12",-12.0848682776723
"13",-11.5541550847324
"14",-10.7234305507153
"15",-10.5812349263847
"16",-11.1847009367991
"17",-12.9992326737049
"18",-12.3642173060999
"19",-11.5910770422684
"20",-11.2852395288226
"21",-12.3939619237358
"22",-12.1480699031773
"23",-11.8525308367986
"24",-12.355155779609
"25",-11.7430704277402
"26",-10.6267673288335
"27",-10.7480446976243
"28",-10.6355040885464
"29",-11.1392232807847
"30",-10.5012480516508
"31",-10.1808391798874
"32",-11.1313637974594
"33",-13.1195267959748
"34",-12.9670550408212
"35",-13.3075441891265
"36",-15.6721042084407
"37",-9.53039517907279
"38",-9.80743309094591
"39",-9.93161790288167
"40",-10.0699951557925
"41",-10.0673564723825
"42",-10.2282860896619
"43",-9.99432636736879
"44",-9.22218626534046
"45",-9.70615362516663
"46",-10.0364976222738
"47",-12.2440058794889
"48",-10.8024665222041
"49",-9.88176610654925
"50",-7.03670603414229
"51",-6.84110172823665
"52",-8.72259294220984
"53",-7.43079127168536
"54",-7.81890424933182
"55",-9.17926019062059
"56",-9.25238457375909
"57",-9.89016497566633
"58",-10.1450773899732
"59",-9.46785795383281
"60",-9.49300424158033
"61",-6.93508288314374
"62",-6.73820324632946
"63",-6.05194646286253
"64",-7.33290361327274
"65",-8.92447702621319
"66",-6.71033985621891
"67",-7.19637427034335
"68",-5.92333657199512
"69",-8.0081687403883
"70",-6.88598561304568
"71",-6.91976059492589
"72",-5.23103224243703
"73",-5.21017057575618
"74",-5.81437328904603
"75",-6.42953985856263
"76",-5.93599317660452
"77",-5.83254076214117
"78",-7.37311530038741
"79",-7.38479342202396
"80",-6.89967478552291
"81",-8.00481711858345
"82",-7.04579166561938
"83",-7.15245211039724
"84",-8.17248749710066
"85",-7.62384721586278
"86",-9.18750841331847
"87",-11.2694355295604
"88",-11.730130174297
"89",-11.8426324378756
"90",-8.49640251406111
"91",-8.78932837660589
"92",-9.02395263754147
"93",-10.0685502618135
"94",-9.68449751901557
"95",-10.4458773116511
"96",-9.96548325625618
"97",-9.55649058302588
"98",-9.48357346794091
"99",-9.515074431559
"100",-8.99874559979572
"101",-10.6020050154004
"102",-10.4803482664585
"103",-11.0695461994614
"104",-11.2860612477231
"105",-11.1657823680492
"106",-8.54572099863707
"107",-7.74447247641485
"108",-7.87729937213865
"109",-6.46868996833847
"110",-8.26366772767924
"111",-8.49000489737731
"112",-8.88638520919457
"113",-11.2277285058528
"114",-9.63427620412236
"115",-9.03581764577561
"116",-9.10183978591194
"117",-7.9195939253727
"118",-8.6665491806301
"119",-11.9922271571262
"120",-11.159770110811
"121",-8.73406760240603
"122",-6.7425673063852
"123",-11.4680307323813
"124",-10.3185745780765
"125",-8.20738148901414
"126",-5.70933698905942
"127",-5.49777467110845
"128",-10.0611979655997
"129",-11.9955803814576
"130",-11.2422269113765
"131",-10.5925586968583
"132",-10.1822429911097
"133",-9.77328968308589
"134",-9.62142379987198
"135",-10.5244649286669
"136",-6.84164314270582
"137",-9.78345169024402
"138",-9.92853276558806
"139",-6.34357266382955
"140",-6.19476581972763
"141",-9.40712013986796
"142",-9.62273200535827
"143",-10.1711415896571
"144",-9.70431608350982
"145",-7.3491152133842
"146",-14.3955469467882
"147",-10.9829885722265
"148",-8.99738162583919
"149",-8.65991909426064
"150",-7.32194552113033
"151",-9.58468341941062
"152",-11.9793104633627
"153",-8.95575160084246
"154",-11.3814329029279
"155",-12.203240320528
"156",-10.8322124979168
"157",-9.72538289154473
"158",-9.06223217977554
"159",-9.72232383436998
"160",-6.01859520301712
"161",-8.48341327446726
"162",-10.049692066564
"163",-6.1985897599976
"164",-9.12618719858097
"165",-8.93788340362106
"166",-8.94175532244369
"167",-9.26327823503885
"168",-12.470116183479
"169",-10.6846511663635
"170",-7.43190534408603
"171",-8.3313649021528
"172",-8.58514983521914
"173",-7.02692762382317
"174",-10.4430542692825
"175",-10.1463585193567
"176",-9.79014953178114
"177",-8.58250565621251
"178",-10.8708761115963
"179",-11.5194493684188
"180",-9.46142226754074
"181",-8.69163702224372
"182",-8.33418126053552
"183",-9.57637753825439
"184",-9.56536777054066
"185",-9.06538054212996
"186",-6.46033957054755
"187",-9.52033472725222
"188",-10.5453725473725
"189",-7.56873326296485
"190",-10.1422667822131
"191",-8.07079858348732
"192",-8.37112046689819
"193",-7.54705556725233
"194",-9.55454061286641
"195",-10.0797270606846
"196",-10.3725882615008
"197",-10.5214365562946
"198",-7.83407048806238
"199",-12.2723818404431
"200",-9.69975896334209
"201",-8.49071079094117
"202",-11.831848096426
"203",-8.17437693190556
"204",-7.48559901046807
"205",-14.5098386997657
"206",-8.20893292174951
"207",-8.53065807208519
"208",-6.02610158379798
"209",-8.95295205243429
