"","x"
"1",-6.62343203048673
"2",-6.21003057402062
"3",-5.07847558874498
"4",-3.63683789105545
"5",-2.57283940111173
"6",-1.86454664982087
"7",-1.95292159327389
"8",-1.71763873285824
"9",-1.6098868278733
"10",-2.79132070059029
"11",-3.59081411762112
"12",-6.24642465202699
"13",-3.3017468038696
"14",-5.16863754640065
"15",-2.67356746265351
"16",-3.71922455059898
"17",-1.85214456586336
"18",-2.73043184417711
"19",-1.67340822036802
"20",-2.40463979843356
"21",-2.14122114708302
"22",-2.42355502022488
"23",-2.937269981904
"24",-3.01016003815491
"25",-2.90337168752058
"26",-3.71026515904842
"27",-2.07814034189392
"28",-4.54815049361375
"29",-1.89136529904994
"30",-4.96467003416869
"31",-4.64737612450718
"32",-4.07577627650401
"33",-3.77302370961945
"34",-4.09411609963458
"35",-4.59944171041009
"36",-4.47636669789052
"37",-3.50606246484162
"38",-2.66474168087536
"39",-2.46950240679958
"40",-2.42749427919451
"41",-6.42003577829401
"42",-6.4944680613175
"43",-6.48558845676384
"44",-5.23909591256168
"45",-5.74754365762317
"46",-5.99319679897657
"47",-5.73411700798787
"48",-2.25581255791301
"49",-5.69791117350555
"50",-4.4979707363779
"51",-4.72691561408415
"52",-1.90144170206175
"53",-3.66832696211357
"54",-3.44832108720261
"55",-3.92357797734362
"56",-1.38681607812951
"57",-3.25727651891923
"58",-2.61334520756544
"59",-3.55889895175055
"60",0.359721767196114
"61",-4.48981079372783
"62",-2.77345087009901
"63",-0.748022415913059
"64",-5.2808388906138
"65",1.51223384283375
"66",-1.3669518825368
"67",-1.9355115953421
"68",-1.91286644228136
"69",-0.712951838457104
"70",0.0718854740345037
"71",0.169100221026016
"72",1.01201050826561
"73",1.17919599576552
"74",0.553607618194543
"75",0.344115765070212
"76",0.755586968080002
"77",1.33778110898149
"78",1.7622810344756
"79",1.68563453008845
"80",1.56650835860902
"81",1.32694352577791
"82",0.329949460552063
"83",1.73907530396594
"84",1.11313532243821
"85",1.0354380927899
"86",-1.00852236076164
"87",0.860025202690703
"88",0.587480237960822
"89",0.565629815468608
"90",0.387089053537574
"91",0.218295679759046
"92",0.742371310077115
"93",0.727616137461386
"94",0.095804685844501
"95",0.468123978435236
"96",0.401009689183786
"97",-0.820348019831807
"98",0.235987691102338
"99",-0.578532990277221
"100",0.368693658184163
"101",1.41122372542996
"102",0.516037288939078
"103",-1.00900428625568
"104",0.521670130367664
"105",0.631095354724136
"106",-2.64677349482006
"107",-1.61084764593646
"108",-2.69287936925485
"109",-3.54875173168686
"110",-4.43422760811437
"111",-4.35159661189995
"112",-0.102196669713297
"113",-0.747510358772683
"114",0.229373979643045
"115",-0.551265263014103
"116",-1.51111839415482
"117",0.420161450994328
"118",-0.798185076169021
"119",-1.56106820700506
"120",-1.8798080704919
"121",-1.50222865184024
"122",-0.354145326566928
"123",-1.1530914167539
"124",0.378471701622771
"125",0.232020821708487
"126",-1.89622818574028
"127",0.635970248525119
"128",0.328703505879887
