"","x"
"1",-1.79792581407202
"2",-1.81790845799709
"3",-1.87229798706159
"4",-1.92779693493593
"5",-1.9429353227865
"6",-1.91743920299504
"7",-1.91014763641568
"8",-1.8998816167547
"9",-1.85242344592573
"10",-1.79774937188617
"11",-1.77330146554184
"12",-1.69504451569156
"13",-1.55692061082942
"14",-1.46143375230336
"15",-1.43320132191011
"16",-1.67344601486451
"17",-1.66030645538899
"18",-1.62104332032291
"19",-1.52406017062843
"20",-1.3174735026132
"21",-1.27870030495124
"22",-1.2539075583151
"23",-1.32187794471258
"24",-1.40342340780664
"25",-1.47791989052846
"26",-1.50729447530241
"27",-1.49896117460119
"28",-1.47534442792027
"29",-1.44433481243944
"30",-1.41490635597432
"31",-1.39489199755777
"32",-1.39210774188204
"33",-1.44496462368481
"34",-1.37650962276552
"35",-1.32770698847142
"36",-1.5548058130266
"37",-1.85211600412697
"38",-1.83525094645494
"39",-1.65384160869928
"40",-1.76193219661422
"41",-1.84527876275684
"42",-1.87985527839102
"43",-1.91743404684561
"44",-1.94698657522655
"45",-1.96344106378087
"46",-1.97495501092475
"47",-1.98822511946076
"48",-2.01394717372625
"49",-2.16558795142821
"50",-2.36159320425126
"51",-2.53992245740163
"52",-2.52115265763102
"53",-2.48628411335046
"54",-2.58863667280069
"55",-2.68826339513965
"56",-2.73111021247822
"57",-2.72013860181647
"58",-2.72809700827648
"59",-2.7871033867079
"60",-2.9158563675945
"61",-3.05604402599392
"62",-3.19906433392141
"63",-3.2917176128319
"64",-3.32056515374119
"65",-3.32688313806764
"66",-3.32036684854534
"67",-3.26277159877937
"68",-3.20616346151314
"69",-2.8930574393627
"70",-2.63763319912002
"71",-2.46905080299116
"72",-2.40832339181619
"73",-2.39522696220954
"74",-2.40129831107421
"75",-2.42839046096775
"76",-2.32390997483686
"77",-2.23737691838571
"78",-2.22268279927196
"79",-2.15560471670238
"80",-2.06548964924671
"81",-2.01383287553754
"82",-1.9927513512544
"83",-2.02195813924345
"84",-2.06116109796736
"85",-2.01017987995403
"86",-1.89406710524477
"87",-2.15175053168756
"88",-1.81466088711004
"89",-3.07676320626252
"90",-1.39154697545665
"91",-3.25442743852593
"92",-3.19586517781182
"93",-2.90039272729786
"94",-1.44835593515391
"95",-1.44877081211063
"96",-1.31494899065425
"97",-2.0342369352904
"98",-2.00170430673927
"99",-2.11851421072547
"100",-1.83818873578906
"101",-2.04632554471549
"102",-2.0202722472278
"103",-1.88864928104223
"104",-1.95848465451961
"105",-1.9465859113353
"106",-1.74938601727049
"107",-2.0382925425576
"108",-2.06433483322336
"109",-2.01714588532915
"110",-2.05011649819672
"111",-1.99226207284303
"112",-2.0502240429888
"113",-1.88976574511986
"114",-1.96938798109486
"115",-1.9014723879086
"116",-1.90618795254355
"117",-1.91983703392077
"118",-1.78865060100413
"119",-1.66839448734559
"120",-1.73077037729506
"121",-1.67739241949695
"122",-2.04513530953215
"123",-2.01491525963604
"124",-1.99553502707976
"125",-1.97534397197514
"126",-1.89558918832274
"127",-1.8594031023278
"128",-1.9187327564123
"129",-1.8770009834042
"130",-1.72907711645933
"131",-1.75363591413144
"132",-1.6491642129063
"133",-2.18432933823216
"134",-1.92845600626857
"135",-1.80461880708739
"136",-1.69835629325032
"137",-1.67051021960166
"138",-1.73311129463175
"139",-1.76597005985193
"140",-1.65195806104167
"141",-1.68841288523878
"142",-1.6073615983912
"143",-1.55461663833752
"144",-1.62954512813699
"145",-2.0806943467728
"146",-2.13358034275484
"147",-1.85105849307804
"148",-1.68437090167218
"149",-1.77527572367357
"150",-1.78299558820666
"151",-1.65065125723592
"152",-1.71078806509795
"153",-1.47499690139384
"154",-1.51177818916523
"155",-1.48173119455603
"156",-3.29830667435421
"157",-3.01608583084727
"158",-1.48091330595285
"159",-1.37503557358098
"160",-2.21975998687034
"161",-2.17472909746006
"162",-2.27432959379345
"163",-2.22783530427731
"164",-2.37041541850928
"165",-2.28156115078539
"166",-2.34368363486074
"167",-2.30916905820009
"168",-2.27909153514849
"169",-2.37934338032809
"170",-2.41763475026644
"171",-2.42387916082804
"172",-2.0624453729389
"173",-1.99972794095489
"174",-1.9612118370535
"175",-1.35361997932295
"176",-2.47553467144948
"177",-2.44172889522228
"178",-2.46887066108238
"179",-2.47636948648908
"180",-2.42933549254154
"181",-2.53816626960284
"182",-2.40293838264647
"183",-2.26443273490634
"184",-1.49407665633839
"185",-1.56927600452156
"186",-1.49228607707267
"187",-1.46102692558245
"188",-1.40767678436881
"189",-2.40188647217886
"190",-2.39900759722522
"191",-2.50063078040562
"192",-2.50246334581499
"193",-2.54145043422695
"194",-1.52215749734016
"195",-1.55108697728541
"196",-2.50998478056285
"197",-2.50528864584537
"198",-2.44741954158868
"199",-2.49863014616995
"200",-2.63295941691015
"201",-2.53369069354428
"202",-2.54929647453661
"203",-2.6187710946117
"204",-2.47948271891999
"205",-2.7554211016843
"206",-2.64493987600261
"207",-2.68752490525879
"208",-2.5530961107922
"209",-2.50621107893556
"210",-2.43884108692771
"211",-2.60662997361153
"212",-2.49971707874784
"213",-2.43378274227086
"214",-2.41013451259463
"215",-2.48562208038933
