"","x"
"1",-9.65611450943169
"2",-9.4164513050291
"3",-13.1708654797716
"4",-14.4373533767234
"5",-10.9420898743293
"6",-10.3505458588848
"7",-10.5363232598912
"8",-10.0226304174908
"9",-12.4547651923751
"10",-12.5740919704977
"11",-11.6989398834047
"12",-12.8358131644158
"13",-11.3929305082252
"14",-10.4399582136568
"15",-10.4404347465356
"16",-11.3260016309381
"17",-12.7439796211851
"18",-12.105942630656
"19",-11.3625833964057
"20",-11.0506986550729
"21",-11.8545419367389
"22",-11.9658952496294
"23",-11.8620459547125
"24",-12.6562740308841
"25",-11.9186621020205
"26",-10.5741462797275
"27",-10.6489616272094
"28",-10.6315760980762
"29",-10.9314178343124
"30",-10.3420717006346
"31",-10.1766129401428
"32",-11.1290706694192
"33",-12.9368587374334
"34",-12.4946836253173
"35",-12.4043318429846
"36",-14.2323979339872
"37",-9.53445184422416
"38",-9.77736452007333
"39",-9.94111838034193
"40",-9.91413779883771
"41",-9.61106961607774
"42",-10.3973679720402
"43",-10.1556310076157
"44",-9.23105824339098
"45",-9.66358373701471
"46",-10.1080662644814
"47",-12.459065693031
"48",-10.8639595304434
"49",-9.83210268939515
"50",-7.03927293047979
"51",-6.84527714991894
"52",-8.72590906620676
"53",-7.43133269932359
"54",-7.82813125953855
"55",-9.18005692674456
"56",-9.24190046096605
"57",-9.94025696305532
"58",-10.2801565299937
"59",-9.49134448891231
"60",-9.50345951291613
"61",-6.93279234673328
"62",-6.73530490379294
"63",-6.04769186575701
"64",-7.33219037342765
"65",-8.92011850931723
"66",-6.71339533830634
"67",-7.19862510997814
"68",-5.92308964241101
"69",-8.01190284299578
"70",-6.88514765552467
"71",-6.92075456445353
"72",-5.2305764867198
"73",-5.20852080743864
"74",-5.81465024026925
"75",-6.42608977205284
"76",-5.93343774201847
"77",-5.83673291370846
"78",-7.37509554963583
"79",-7.38519905554871
"80",-6.89493477786999
"81",-8.0051809173568
"82",-7.04252780058893
"83",-7.14996653751726
"84",-8.17414557481252
"85",-7.62364622253736
"86",-9.17873540328753
"87",-11.4724253654396
"88",-12.0254069889851
"89",-12.0893080896862
"90",-8.45805147016253
"91",-8.74633103947495
"92",-8.98251850440061
"93",-10.0387884279552
"94",-9.68473344715433
"95",-10.4695295767494
"96",-10.0295672342614
"97",-9.56316267481941
"98",-9.3096705703563
"99",-9.29375235928396
"100",-8.88870205475992
"101",-10.7363094975152
"102",-10.8713143727376
"103",-11.1768832152033
"104",-11.3233978734951
"105",-11.2075831681654
"106",-8.54844717475625
"107",-7.74693631267755
"108",-7.87436118935167
"109",-6.46908440157765
"110",-8.26011342194181
"111",-8.48342037019968
"112",-8.88339387467004
"113",-11.4251981571062
"114",-9.64530498136187
"115",-9.06975122626985
"116",-9.06669526180027
"117",-7.91720394860844
"118",-8.66644800992272
"119",-11.99141091599
"120",-10.8834484819113
"121",-8.72059430599583
"122",-6.74254213743761
"123",-11.6898750200978
"124",-10.2826610856793
"125",-8.2020171286884
"126",-5.70932596250327
"127",-5.49677873050658
"128",-9.97712859422738
"129",-12.24443394141
"130",-11.2512809447461
"131",-10.4887715696909
"132",-10.2186894932846
"133",-9.78829867615834
"134",-9.63285009964072
"135",-10.5240981583142
"136",-6.84425149561578
"137",-9.80718630026765
"138",-10.0145305465773
"139",-6.34389475752809
"140",-6.19456061108257
"141",-9.41375919908235
"142",-9.63692873327168
"143",-10.2005854287065
"144",-9.71187692365174
"145",-7.34658124521563
"146",-13.6459746784747
"147",-11.0264312546835
"148",-9.00334720131265
"149",-8.66570619304716
"150",-7.31983253126302
"151",-9.58325111423201
"152",-11.9646705450735
"153",-8.95108678579841
"154",-10.9687745547142
"155",-12.4829861372057
"156",-10.8595668544678
"157",-9.77243912987186
"158",-9.05927418237025
"159",-9.72547985490856
"160",-6.01867818171463
"161",-8.4844926105077
"162",-10.0400657356344
"163",-6.19865433786942
"164",-9.13791009657635
"165",-8.93111848624805
"166",-8.94723109155686
"167",-9.26845458241213
"168",-12.3039270951125
"169",-10.8510141202084
"170",-7.43113509149644
"171",-8.33258222755605
"172",-8.5754463259042
"173",-7.02273825228482
"174",-10.4470795458554
"175",-10.1886273450547
"176",-9.7867603475667
"177",-8.57706827917055
"178",-10.9047212802093
"179",-11.6515818731768
"180",-9.46866667994603
"181",-8.69072416735865
"182",-8.33732792429168
"183",-9.58026319215248
"184",-9.54678113672803
"185",-9.06293388554904
"186",-6.45963592308836
"187",-9.52044460561295
"188",-10.6476892459753
"189",-7.57246989178117
"190",-10.2528027108136
"191",-8.07195936369115
"192",-8.36497192623489
"193",-7.54855419844048
"194",-9.5491744175721
"195",-10.0704699841069
"196",-10.3196625119657
"197",-10.5545541126862
"198",-7.82927529751156
"199",-12.2097597317315
"200",-9.70906650997604
"201",-8.48167613792739
"202",-11.8905359215931
"203",-8.17566064439741
"204",-7.4820244536747
"205",-13.6679307094629
"206",-8.20845901177675
"207",-8.52916951244118
"208",-6.02609387282303
"209",-8.94503014174896
"210",-10.9917212720867
"211",-9.01643970785556
"212",-11.034985515064
"213",-9.57298342579146
"214",-9.12101538622353
"215",-12.0569573781402
"216",-8.62926745712361
"217",-11.807982211329
"218",-11.8829930817003
"219",-10.6452826030405
"220",-11.9559169381783
"221",-10.9745460126821
"222",-11.4057450434551
"223",-10.7343928097224
"224",-6.55935784919942
"225",-7.94701135213268
"226",-12.1883334296268
"227",-9.07261564188775
"228",-10.725022528786
"229",-10.0086618254738
"230",-12.8422942652712
"231",-11.6338778364873
"232",-10.6086397635844
"233",-11.780118474508
"234",-12.00513012628
"235",-7.36089235846751
"236",-6.77898244785378
"237",-8.90397899916935
"238",-9.01374121135922
"239",-9.53108442403084
"240",-7.43888699780825
"241",-8.80005167332233
"242",-9.45919528722496
"243",-10.0895248715287
"244",-11.8912588559189
"245",-11.1771480555449
"246",-7.4276066267253
"247",-5.52644200166035
"248",-5.74497666134317
"249",-11.8797515149133
"250",-9.76840937331156
"251",-11.6291296355408
"252",-11.0892292359253
"253",-8.28281288044218
"254",-11.5214790164072
"255",-11.8678018082614
"256",-10.9069029062549
"257",-11.2507166606213
"258",-8.63555564175557
"259",-9.37005852716566
"260",-9.34572857350951
"261",-10.1928030629658
"262",-9.69377969286488
"263",-9.52954037031605
"264",-7.694375570561
"265",-7.61951199646167
"266",-11.1690945951416
"267",-10.8619777036504
"268",-11.2176204194508
"269",-8.56426536665659
"270",-11.1210110275771
"271",-11.6509915059665
"272",-11.5496479980634
"273",-11.8114083111481
"274",-11.5738420214619
"275",-10.2699608151096
"276",-9.47648552198887
"277",-8.87808031013906
"278",-8.61916602409681
"279",-9.94686378845714
"280",-10.0641579157976
"281",-10.2402587491581
"282",-11.9081149279809
"283",-10.6657664389875
"284",-8.32360762465756
"285",-11.5490250083738
"286",-6.04748298493595
"287",-5.4758752924744
"288",-7.22444259777575
"289",-10.0897782279163
"290",-8.17655576897775
"291",-6.33845673854201
"292",-10.0999095946229
"293",-7.5403965891009
"294",-8.77499059743113
"295",-7.25211821437128
"296",-12.2718477857673
"297",-10.6361753634705
"298",-8.55492817440513
"299",-10.4238957906489
"300",-5.67086795478487
"301",-6.21563868510439
"302",-10.0925186448961
"303",-10.1860452639254
"304",-10.3504518951843
"305",-9.53634811201898
"306",-9.71587988621432
"307",-10.5382415465791
"308",-11.655368782407
"309",-10.696765257096
"310",-10.3292395610295
"311",-11.3039130617644
"312",-11.6283517550233
"313",-9.6870824143393
"314",-10.6779702756434
"315",-10.3271117774454
"316",-10.5263375909332
"317",-11.4723369742304
"318",-9.1292390226757
"319",-11.1089893323438
"320",-10.5294405185172
"321",-9.94389661885821
"322",-8.2071856364701
"323",-10.5197886400471
"324",-10.5902427974855
"325",-9.48268187500257
"326",-8.40215804938805
"327",-8.54710671840992
"328",-10.7096049184277
"329",-8.89866850504549
"330",-8.74968662348243
"331",-8.97191629789502
"332",-9.12911549731291
"333",-11.0896708266144
"334",-11.0134520393724
"335",-8.77722988751523
"336",-9.14490350828071
"337",-9.01202783872
"338",-5.87803714444914
"339",-10.9040218780917
"340",-8.51784854310508
"341",-10.8946746828568
"342",-11.9413997986508
"343",-12.0424509825175
"344",-10.7412407312731
"345",-6.14731117678483
"346",-9.66675814290674
"347",-10.18371067185
"348",-9.58909674074889
"349",-10.0264335184975
"350",-9.67193857803178
"351",-9.77552915101593
"352",-9.53378784910852
"353",-9.66750991322249
"354",-9.48888380841043
"355",-10.041614430889
"356",-8.86295861193674
"357",-9.40022422275655
"358",-8.21027569738124
"359",-9.63518897192056
"360",-9.13699315945228
"361",-10.7726217865891
"362",-10.8583359700457
"363",-9.91655751207882
"364",-10.8289762695293
"365",-10.824367452366
"366",-11.624073811504
"367",-11.5465864359949
"368",-10.239727723368
"369",-10.727281255206
"370",-8.35726588278152
"371",-10.1770012209998
"372",-10.8078648790742
"373",-10.8707210737258
"374",-8.33321625481145
"375",-8.44505158288282
"376",-7.51786441390929
"377",-8.59655457357202
